阿姨,āyí,aunt
啊,a,ah
矮,ǎi,short
爱好,àihào,hobby
安静,ānjìng,Be quiet
把,bǎ,hold
班,bān,class
搬,bān,move
半,bàn,half
办法,bànfǎ,Way
办公室,bàngōngshì,Office
帮忙,bāngmáng,Help
包,bāo,package
饱,bǎo,full
北方,běifāng,north
被,bèi,cover
鼻子,bízi,nose
比较,bǐjiào,compare
比赛,bǐsài,Match
笔记本,bǐjìběn,notebook
必须,bìxū,Must
变化,biànhuà,change
别人,biéren,Others
冰箱,bīngxiāng,Refrigerator
菜单,càidān,menu
参加,cānjiā,participate in
草,cǎo,grass
层,céng,layer
差,chà,bad
超市,chāoshì,Supermarket
衬衫,chènshān,shirt
成绩,chéngjì,achievement
城市,chéngshì,City
迟到,chídào,Late
除了,chúle,"except, besides"
船,chuán,ship
春,chūn,spring
词典,cídiǎn,Dictionaries
聪明,cōngming,clever
打扫,dǎsǎo,Clean
打算,dǎsuàn,Plan
带,dài,belt
担心,dānxīn,Worry
蛋糕,dàngāo,Cake
当然,dāngrán,Of course
地,de,
灯,dēng,lamp
地方,dìfang,local
地铁,dìtiě,metro
地图,dìtú,Map
电梯,diàntī,Elevator.
电子邮件,diànzǐyóujiàn,E-mail
东,dōng,east
冬,dōng,winter
动物,dòngwù,Animal
短,duǎn,short
段,duàn,paragraph
锻炼,duànliàn,Physical exercise
多么,duōme,such
饿,è,hungry
不但……而且……,búdàn…érqiě…,not only…but also…
耳朵,ěrduo,Ears
发,fā,send out
发烧,fāshāo,Have a fever
发现,fāxiàn,"find, discover"
方便,fāngbiàn,convenient
放,fàng,discharge
放心,fàngxīn,Don’t worry
分,fēn,minute
附近,fùjìn,nearby
复习,fùxí,Review
干净,gānjìng,clean
感兴趣,gǎnxìngqù,be intretested in
感冒,gǎnmào,get a cold
刚才,gāngcái,just
个子,gèzi,height
跟,gēn,with
根据,gēnjù,according to
更,gèng,more
公斤,gōngjīn,Kg.
公园,gōngyuán,Park
故事,gùshi,Story
刮风,guāfēng,Windy
关,guān,shut
关系,guānxì,relationship
关心,guānxīn,Care for
关于,guānyú,about
国家,guójiā,Country
过去,guòqù,Past times
过（动词）,guò,pass
还是,háishì,still
害怕,hàipà,Fear
黑板,hēibǎn,blackboard
后来,hòulái,later
护照,hùzhào,passport
花（动词）,huā,spend
花（名词）,huā,flower
画,huà,painting
坏,huài,bad
欢迎,huānyíng,Welcome
还（动词）,huán,Return
环境,huánjìng,Environment
换,huàn,change
黄河,huánghé,Yellow River
回答,huídá,Answer
会议,huìyì,Meeting
或者,huòzhě,perhaps
几乎,jīhū,almost
机会,jīhuì,Opportunity
极,jí,extremely
记得,jìde,remember
季节,jìjié,Season
检查,jiǎnchá,inspect
简单,jiǎndān,simple
健康,jiànkāng,Healthy
见面,jiànmiàn,meet
讲,jiǎng,speak
教,jiāo,teach
角,jiǎo,horn
脚,jiǎo,foot
接,jiē,"pick,get"
街道,jiēdào,Street
结婚,jiéhūn,marry
结束,jiéshù,End
节目,jiémù,program
节日,jiérì,festival
解决,jiějué,Solve
借,jiè,borrow
经常,jīngcháng,Often
经过,jīngguò,"After, through"
经理,jīnglǐ,manager
久,jiǔ,long
旧,jiù,"old,used"
句子,jùzi,sentence
决定,juédìng,Decision
渴,kě,thirsty
可爱,kě’ài,Lovely
刻,kè,moment
客人,kèrén,Guest
空调,kōngtiáo,Air conditioner
口,kǒu,mouth
哭,kū,cry
裤子,kùzi,trousers
筷子,kuàizi,chopsticks
蓝,lán,blue
老,lǎo,old
离开,líkāi,leave
礼物,lǐwù,gift
历史,lìshǐ,History
脸,liǎn,face
聊天,liáotiān,chat
练习,liànxí,Practice
辆,liàng,Car
了解,liǎojiě,understand
邻居,línjū,neighbor
留学,liúxué,Overseas Study
楼,lóu,floor
绿,lǜ,green
马,mǎ,Horse
马上,mǎshàng,Right off
满意,mǎnyì,Satisfied
帽子,màozi,Hat
米,mǐ,rice
面包,miànbāo,Bread
明白,míngbai,clear
拿,ná,take
奶奶,nǎinai,grandma
南,nán,south
难,nán,difficult
难过,nánguò,sad
年级,niánjí,grade
年轻,niánqīng,Young
鸟,niǎo,bird
努力,nǔlì,Strive
爬山,páshān,Mountain climbing
盘子,pánzi,plate
胖,pàng,fat
啤酒,píjiǔ,Beer
皮鞋,píxié,leather shoes
瓶子,píngzi,bottle
其实,qíshí,actually
其他,qítā,Other
骑,qí,ride
奇怪,qíguài,strange
起来,qǐlái,get up
起飞,qǐfēi,take off
清楚,qīngchu,clear
请假,qǐngjià,ask for leave
秋,qiū,autumn
裙子,qúnzi,skirt
然后,ránhòu,Then
热情,rèqíng,Enthusiasm
认为,rènwéi,think
认真,rènzhēn,earnest
容易,róngyì,easily
如果,rúguǒ,If
伞,sǎn,umbrella
上网,shàngwǎng,Surf the Internet
生气,shēngqì,get angry
声音,shēngyīn,voice
试,shì,try
世界,shìjiè,world
瘦,shòu,thin
舒服,shūfu,comfortable
叔叔,shūshu,uncle
树,shù,tree
数学,shùxué,Mathematics
刷牙,shuāyá,Brush one’s teeth
双,shuāng,"double, pair"
水平,shuǐpíng,level
司机,sījī,Driver
太阳,tàiyáng,sun
特别,tèbié,Especially
疼,téng,hurt
提高,tígāo,increase
体育,tǐyù,Sports
甜,tián,sweet
条,tiáo,strip
同事,tóngshì,Colleague
同意,tóngyì,Agree
头发,tóufa,Hair
突然,tūrán,suddenly
图书馆,túshūguǎn,Library
腿,tuǐ,leg
完成,wánchéng,complete
碗,wǎn,bowl
万,wàn,ten thousand
忘记,wàngjì,forget
为,wèi,for
为了,wèile,in order to
位,wèi,position
文化,wénhuà,Culture
西,xī,west
习惯,xíguàn,Habit
洗手间,xǐshǒujiān,Restroom
洗澡,xǐzǎo,Take a shower
夏,xià,summer
先,xiān,first
香蕉,xiāngjiāo,Banana
相信,xiāngxìn,believe
向,xiàng,towards
像,xiàng,image
小心,xiǎoxīn,watch out
校长,xiàozhǎng,Principal
新闻,xīnwén,news
新鲜,xīnxiān,fresh
信用卡,xìnyòngkǎ,Credit card
行李箱,xínglixiāng,Trunk
熊猫,xióngmāo,Panda
需要,xūyào,Need
选择,xuǎnzé,Choice
要求,yāoqiú,Requirement
爷爷,yéye,grandpa
一定,yídìng,Certain
一共,yígòng,Altogether
一会儿,yíhuìr,a while
一样,yíyàng,equally
以前,yǐqián,before
一般,yìbān,commonly
一边,yìbiān,One side
一直,yìzhí,always
音乐,yīnyuè,Music
银行,yínháng,Bank
饮料,yǐnliào,Drinks
应该,yīnggāi,Should
影响,yǐngxiǎng,Influence
用,yòng,use
游戏,yóuxì,Game
有名,yǒumíng,Famous
又,yòu,again
遇到,yùdào,encounter
元,yuán,element; yuan
愿意,yuànyì,Be willing
月亮,yuèliang,Moon
越,yuè,the more
站,zhàn,station
张,zhāng,Zhang (surname)
长（动词）,zhǎng,grow
着急,zháojí,Worry
照顾,zhàogù,look after
照片,zhàopiàn,Photo
照相机,zhàoxiàngjī,Camera
只（量词）,zhī,(measure word)
只（副词）,zhǐ,only
只有……才……,zhǐyǒu…cái…,only if
中文,zhōngwén,Chinese
中间,zhōngjiān,Middle
终于,zhōngyú,finally
种,zhǒng,species
重要,zhòngyào,important
周末,zhōumò,Weekend
主要,zhǔyào,main
注意,zhùyì,Be careful
自己,zìjǐ,"Own, self"
自行车,zìxíngchē,Bicycle
总是,zǒngshì,always
嘴,zuǐ,mouth
最后,zuìhòu,Last
最近,zuìjìn,lately
作业,zuòyè,homework